sales_id,order_id,product_id,customer_id,order_date,order_priority,order_quantity,unit_price,discount,shipping_price,total,total_after_discount,box_size,shipping_cost,box_cost,delivery_date,product_base_revenue,revenue
24,200931,PFS127009,100922353,2017-02-26,Medium,6,40.95,0.08,5.25,245.7,245.7,Jumbo Drum,3.68,5.42,2017-03-04,0.42,94.25
25,200932,PFS127074,100922013,2017-02-21,Medium,4,19.75,0,6,78.99,78.99,Small Pack,4.2,0.38,2017-02-27,0.62,44.62
26,200932,PFS127010,100922354,2017-02-21,Medium,13,23.7,0.05,3,308.13,308.13,Small Box,2.1,0.56,2017-02-27,0.38,114.55
27,200933,PFS127075,100922014,2017-11-14,Medium,7,19.75,0.04,5.25,138.23,132.7,Small Box,3.68,0.56,2017-11-20,0.62,78.12
28,200933,PFS127011,100922355,2017-11-14,Very Low,1,24.3,0.02,2,24.3,24.3,Small Box,1.4,0.56,2017-11-24,0.37,7.08
29,200934,PFS127076,100922015,2017-11-16,Medium,8,19.88,0.02,6.75,159.02,155.84,Wrap Bag,4.73,0.34,2017-11-22,0.61,90.25
30,200934,PFS127025,100922356,2017-11-16,Very Low,12,15.6,0.04,1.67,187.2,187.2,Medium Box,1.17,1.18,2017-11-26,0.7,128.06
31,200935,PFS127077,100922016,2017-04-20,Very Low,5,20.48,0.03,2.33,102.38,99.3,Small Box,1.63,0.56,2017-04-30,0.84,81.34
32,200935,PFS127026,100922357,2017-04-20,Critical,5,15.77,0.04,10.5,78.85,78.85,Small Pack,7.35,0.38,2017-04-22,0.69,46.28
33,200936,PFS127080,100922017,2017-01-31,Very Low,2,20.48,0.07,2,40.95,38.08,Jumbo Box,1.4,2.96,2017-02-10,0.62,19.27
34,200936,PFS127038,100922358,2017-01-31,High,8,16.34,0.08,5,130.73,130.73,Small Box,3.5,0.56,2017-02-03,0.73,91.79
35,200937,PFS127082,100922018,2017-10-18,Critical,3,20.79,0.04,9,62.36,59.87,Large Box,6.3,1.48,2017-10-20,0.73,36.11
36,200937,PFS127047,100922359,2017-10-18,Medium,13,16.65,0.04,5.25,216.49,216.49,Small Box,3.68,0.56,2017-10-24,0.69,144.06
37,200938,PFS127088,100922019,2017-12-25,High,9,20.79,0.25,6,187.08,140.31,Small Box,4.2,0.56,2017-12-28,0.8,107.49
38,200938,PFS127055,100922360,2017-12-25,Low,18,19.67,0.02,2.5,354.01,354.01,Large Box,1.75,1.48,2018-01-02,0.73,256.33
39,200939,PFS127094,100922020,2017-02-17,Medium,11,20.79,0.06,5.25,228.66,214.94,Small Box,3.68,0.56,2017-02-23,0.87,182.76
40,200939,PFS127056,100922361,2017-02-17,Low,5,17.67,0.05,4.5,88.34,88.34,Small Box,3.15,0.56,2017-02-25,0.73,61.05
41,200940,PFS127100,100922021,2017-06-19,Low,19,20.79,0.01,3.5,394.95,391,Small Box,2.45,0.56,2017-06-27,0.73,281.17
42,200940,PFS127058,100922362,2017-06-19,Same Day,19,41.5,0.05,9,788.51,788.51,Small Box,6.3,0.56,2017-06-20,0.68,531.37
43,200941,PFS127101,100922022,2017-04-23,Low,32,21.94,0.1,3.5,702.21,631.99,Wrap Bag,2.45,0.34,2017-05-01,0.7,437.45
44,200941,PFS127065,100922363,2017-04-23,Low,20,47.5,0.05,1.5,950.01,950.01,Wrap Bag,1.05,0.34,2017-05-01,0.37,352.21
45,200942,PFS127102,100922023,2017-04-29,Same Day,11,21.94,0.05,11.25,241.38,229.31,Small Box,7.88,0.56,2017-04-30,0.69,149.06
46,200942,PFS127069,100922364,2017-04-29,Medium,10,18.41,0.07,4.5,184.08,184.08,Medium Box,3.15,1.18,2017-05-05,0.73,129.46
47,200943,PFS127104,100922024,2017-08-28,Low,8,22.09,0.1,3.5,176.7,159.03,Small Pack,2.45,0.38,2017-09-05,0.68,105.73
48,200943,PFS127074,100922365,2017-08-28,High,11,19.75,0.06,8,217.22,217.22,Small Pack,5.6,0.38,2017-08-31,0.62,129.31
49,200944,PFS127106,100922025,2017-01-14,Medium,7,22.75,0.05,2.25,159.25,151.29,Wrap Bag,1.58,0.34,2017-01-20,0.84,125.35
50,200944,PFS127075,100922366,2017-01-14,Critical,7,19.75,0.04,10.5,138.23,138.23,Small Box,7.35,0.56,2017-01-16,0.62,77.87
51,200945,PFS127109,100922026,2017-03-02,High,4,35.08,0.09,9,140.32,127.69,Wrap Bag,6.3,0.34,2017-03-05,0.76,90.51
52,200945,PFS127076,100922367,2017-03-02,Very Low,15,19.88,0.04,3,298.16,298.16,Wrap Bag,2.1,0.34,2017-03-12,0.61,179.91
53,200946,PFS127111,100922027,2017-07-10,Critical,5,35.1,0.06,12,175.5,164.97,Jumbo Drum,8.4,5.42,2017-07-12,0.92,138.22
54,200946,PFS127077,100922368,2017-07-10,Same Day,14,20.48,0.09,15.75,286.65,286.65,Small Box,11.03,0.56,2017-07-11,0.84,229.54
55,200947,PFS127112,100922028,2017-04-01,Very Low,1,37.03,0.01,2.33,37.03,36.66,Small Box,1.63,0.56,2017-04-11,0.84,28.64
56,200947,PFS127080,100922369,2017-04-01,Low,19,20.48,0,3,389.03,389.03,Jumbo Box,2.1,2.96,2017-04-09,0.62,236.37
57,200948,PFS127113,100922029,2017-09-29,Same Day,2,37.03,0.04,9,74.06,71.1,Wrap Bag,6.3,0.34,2017-09-30,0.87,55.22
58,200948,PFS127082,100922370,2017-09-29,Medium,11,20.79,0.01,4.5,228.66,228.66,Large Box,3.15,1.48,2017-10-05,0.73,163.02
59,200949,PFS127116,100922030,2017-07-16,Low,3,38.61,0.08,3.5,115.83,106.56,Small Pack,2.45,0.38,2017-07-24,0.74,76.5
60,200949,PFS127088,100922371,2017-07-16,High,3,20.79,0.05,6,62.36,62.36,Small Box,4.2,0.56,2017-07-19,0.8,45.13
61,200950,PFS127049,100922031,2017-01-25,Medium,6,0.53,0.01,3,3.2,3.17,Small Box,2.1,0.56,2017-01-31,0.95,0.34
62,200950,PFS127094,100922372,2017-01-25,Critical,19,20.79,0.09,10.5,394.95,394.95,Small Box,7.35,0.56,2017-01-27,0.87,335.7
63,200951,PFS127036,100922032,2017-10-24,High,14,1.03,0.06,6,14.38,13.52,Small Box,4.2,0.56,2017-10-27,0.76,5.52
64,200951,PFS127100,100922373,2017-10-24,Very Low,5,20.79,0.08,2.33,103.94,103.94,Small Box,1.63,0.56,2017-11-03,0.73,73.34
65,200952,PFS127071,100922033,2017-11-28,Critical,17,1.78,0.03,10.5,30.28,29.37,Wrap Bag,7.35,0.34,2017-11-30,0.69,12.43
66,200952,PFS127101,100922374,2017-11-28,Same Day,21,21.94,0.06,15.75,460.82,460.82,Wrap Bag,11.03,0.34,2017-11-29,0.7,309.65
67,200953,PFS127021,100922034,2017-06-28,Very Low,19,2.22,0.01,2.33,42.24,41.81,Small Pack,1.63,0.38,2017-07-08,0.66,25.59
68,200953,PFS127102,100922375,2017-06-28,Medium,2,21.94,0.03,3.75,43.89,43.89,Small Box,2.63,0.56,2017-07-04,0.69,26.95
69,200954,PFS127023,100922035,2017-10-10,Same Day,18,2.52,0.08,9,45.4,41.76,Jumbo Drum,6.3,5.42,2017-10-11,0.74,19.37
70,200954,PFS127104,100922376,2017-10-10,Medium,3,22.09,0.08,5.25,66.26,66.26,Small Pack,3.68,0.38,2017-10-16,0.68,41.18
71,200955,PFS127031,100922036,2017-11-25,Medium,22,2.89,0.07,4.5,63.49,59.05,Small Box,3.15,0.56,2017-12-01,0.62,32.93
72,200955,PFS127106,100922377,2017-11-25,Medium,19,22.75,0.06,2.25,432.25,432.25,Wrap Bag,1.58,0.34,2017-12-01,0.84,361.7
73,200956,PFS127032,100922037,2017-02-22,Medium,11,3.12,0,3.75,34.32,34.32,Jumbo Drum,2.63,5.42,2017-02-28,0.61,12.95
74,200956,PFS127109,100922378,2017-02-22,Very Low,7,35.08,0.06,3,245.56,245.56,Wrap Bag,2.1,0.34,2017-03-04,0.76,184.39
75,200957,PFS127035,100922038,2017-09-09,Medium,9,3.12,0.09,5.25,28.08,25.55,Small Box,3.68,0.56,2017-09-15,0.38,5.48
76,200957,PFS127111,100922379,2017-09-09,Very Low,16,35.1,0.02,2.67,561.6,561.6,Jumbo Drum,1.87,5.42,2017-09-19,0.92,510.29
77,200958,PFS127033,100922039,2017-07-19,Very Low,2,3.17,0.1,1.67,6.34,5.71,Jumbo Drum,1.17,5.42,2017-07-29,0.61,-3.11
78,200958,PFS127112,100922380,2017-07-19,Critical,5,37.03,0.06,10.5,185.15,185.15,Small Box,7.35,0.56,2017-07-21,0.84,147.84
79,200959,PFS127024,100922040,2017-03-29,Very Low,1,3.41,0.09,2.33,3.41,3.1,Small Box,1.63,0.56,2017-04-08,0.73,0.06
80,200959,PFS127113,100922381,2017-03-29,High,9,37.03,0.04,4,333.27,333.27,Wrap Bag,2.8,0.34,2017-04-01,0.87,286.81
81,200960,PFS127016,100922041,2017-06-21,Critical,1,3.6,0.06,7.5,3.6,3.38,Small Box,5.25,0.56,2017-06-23,0.34,-4.65
82,200960,PFS127116,100922382,2017-06-21,Medium,10,38.61,0.07,5.25,386.1,386.1,Small Pack,3.68,0.38,2017-06-27,0.74,283.36
83,200961,PFS127022,100922042,2017-11-05,High,1,3.77,0,9,3.77,3.77,Small Box,6.3,0.56,2017-11-08,0.84,-3.69
84,200961,PFS127049,100922383,2017-11-05,Low,19,0.53,0.04,2,10.13,10.13,Small Box,1.4,0.56,2017-11-13,0.95,7.64
85,200962,PFS127030,100922043,2017-05-20,Medium,2,3.89,0,3,7.77,7.77,Small Box,2.1,0.56,2017-05-26,0.62,2.19
86,200962,PFS127036,100922384,2017-05-20,Low,10,1.03,0.03,3,10.27,10.27,Small Box,2.1,0.56,2017-05-28,0.76,5.15
87,200963,PFS127067,100922044,2017-06-30,Low,5,4.11,0.01,1.5,20.54,20.33,Large Box,1.05,1.48,2017-07-08,0.84,14.58
88,200963,PFS127071,100922385,2017-06-30,Same Day,8,1.78,0.08,15.75,14.25,14.25,Wrap Bag,11.03,0.34,2017-07-01,0.69,-1.6
89,200964,PFS127012,100922045,2017-08-04,Low,5,5.16,0.06,3,25.81,24.26,Small Box,2.1,0.56,2017-08-12,0.37,6.23
90,200964,PFS127021,100922386,2017-08-04,Low,5,2.22,0,3.5,11.12,11.12,Small Pack,2.45,0.38,2017-08-12,0.66,4.51
91,200965,PFS127029,100922046,2017-06-04,Same Day,4,5.16,0.04,18,20.64,19.82,Small Box,12.6,0.56,2017-06-05,0.62,-0.82
92,200965,PFS127023,100922387,2017-06-04,Medium,15,2.52,0.04,3,37.83,37.83,Jumbo Drum,2.1,5.42,2017-06-10,0.74,20.65
93,200966,PFS127062,100922047,2017-10-07,Low,8,5.16,0.03,3.5,41.29,40.05,Small Box,2.45,0.56,2017-10-15,0.57,19.87
94,200966,PFS127031,100922388,2017-10-07,High,16,2.89,0.05,6,46.18,46.18,Small Box,4.2,0.56,2017-10-10,0.62,23.89
95,200967,PFS127107,100922048,2017-04-07,Medium,9,5.2,0.07,6.75,46.8,43.52,Small Box,4.73,0.56,2017-04-13,0.8,29.53
96,200967,PFS127032,100922389,2017-04-07,Critical,20,3.12,0.02,7.5,62.4,62.4,Jumbo Drum,5.25,5.42,2017-04-09,0.61,27.5
97,200968,PFS127128,100922049,2017-06-01,High,8,15.2,0.01,7,121.6,120.38,Small Box,4.9,0.56,2017-06-04,0.78,88.44
98,200968,PFS127035,100922390,2017-06-01,Very Low,21,3.12,0.03,2.33,65.52,65.52,Small Box,1.63,0.56,2017-06-11,0.38,22.73
99,200969,PFS127034,100922050,2017-11-02,Critical,5,25.21,0.1,9,126.07,113.46,Small Pack,6.3,0.38,2017-11-04,0.55,56.09
100,200969,PFS127033,100922391,2017-11-02,Same Day,16,3.17,0.08,11.25,50.75,50.75,Jumbo Drum,7.88,5.42,2017-11-03,0.61,17.6
101,200970,PFS127061,100922051,2017-05-10,Very Low,21,5.24,0.1,2,110.02,99.02,Wrap Bag,1.4,0.34,2017-05-20,0.58,55.32
102,200970,PFS127024,100922392,2017-05-10,Low,14,3.41,0.07,3.5,47.68,47.68,Small Box,2.45,0.56,2017-05-18,0.73,31.64
103,200971,PFS127043,100922052,2017-03-10,Same Day,8,5.3,0.01,13.5,42.43,42.01,Wrap Bag,9.45,0.34,2017-03-11,0.73,21.01
104,200971,PFS127016,100922393,2017-03-10,Medium,17,3.6,0.07,3.75,61.22,61.22,Small Box,2.63,0.56,2017-03-16,0.34,17.83
105,200972,PFS127064,100922053,2017-01-22,Low,5,5.46,0.05,3.5,27.3,25.94,Small Box,2.45,0.56,2017-01-30,0.55,11.25
106,200972,PFS127022,100922394,2017-01-22,High,12,3.77,0.04,9,45.24,45.24,Small Box,6.3,0.56,2017-01-25,0.84,31.19
107,200973,PFS127059,100922054,2017-10-01,Medium,9,75.5,0.09,5.25,679.49,618.34,Medium Box,3.68,1.18,2017-10-07,0.63,383.83
108,200973,PFS127030,100922395,2017-10-01,Critical,16,3.89,0.01,6,62.19,62.19,Small Box,4.2,0.56,2017-10-03,0.62,34.07
109,200974,PFS127103,100922055,2017-03-15,High,11,45.8,0,7,503.78,503.78,Small Box,4.9,0.56,2017-03-18,0.69,339.63
110,200974,PFS127067,100922396,2017-03-15,Very Low,14,4.11,0.04,1,57.51,57.51,Large Box,0.7,1.48,2017-03-25,0.84,46.2
111,200975,PFS127066,100922056,2017-01-04,Critical,4,5.9,0.1,7.5,23.61,21.25,Small Box,5.25,0.56,2017-01-06,0.31,0.68
112,200975,PFS127012,100922397,2017-01-04,Same Day,21,5.16,0.08,13.5,108.38,108.38,Small Box,9.45,0.56,2017-01-05,0.37,29.72
113,200976,PFS127070,100922057,2017-04-11,Very Low,3,35.9,0.01,2.33,107.71,106.63,Medium Box,1.63,1.18,2017-04-21,0.69,70.42
114,200976,PFS127029,100922398,2017-04-11,Medium,11,5.16,0.05,6,56.77,56.77,Small Box,4.2,0.56,2017-04-17,0.62,30.59
115,200977,PFS127037,100922058,2017-03-11,Same Day,2,26.71,0.08,6.75,53.42,49.14,Wrap Bag,4.73,0.34,2017-03-12,0.74,31.52
116,200977,PFS127062,100922399,2017-03-11,Medium,3,5.16,0,5.25,15.48,15.48,Small Box,3.68,0.56,2017-03-17,0.57,4.61
117,200978,PFS127063,100922059,2017-03-12,Medium,7,36.83,0.07,6.75,257.78,239.73,Small Box,4.73,0.56,2017-03-18,0.42,95.54
118,200978,PFS127107,100922400,2017-03-12,Medium,2,5.2,0.01,6.75,10.4,10.4,Small Box,4.73,0.56,2017-03-18,0.8,3.03
119,200979,PFS127040,100922060,2017-06-19,Medium,1,46.93,0.07,6,46.93,43.64,Medium Box,4.2,1.18,2017-06-25,0.67,23.99
120,200979,PFS127128,100922401,2017-06-19,Very Low,8,15.2,0.06,2.33,121.6,121.6,Small Box,1.63,0.56,2017-06-29,0.78,92.65
121,200980,PFS127053,100922061,2017-11-01,Medium,11,56.93,0.04,5.25,626.22,601.17,Small Box,3.68,0.56,2017-11-07,0.31,179.6
122,200980,PFS127034,100922402,2017-11-01,Very Low,11,25.21,0.09,2,277.34,277.34,Small Pack,1.4,0.38,2017-11-11,0.55,151.65
123,200981,PFS127105,100922062,2017-04-25,Very Low,22,37.15,0.04,1.33,817.3,784.61,Small Box,0.93,0.56,2017-05-05,0.67,526.39
124,200981,PFS127061,100922403,2017-04-25,Critical,12,5.24,0.07,9,62.87,62.87,Wrap Bag,6.3,0.34,2017-04-27,0.58,29.59
125,200982,PFS127095,100922063,2017-11-11,Very Low,12,27.72,0.04,2.33,332.66,319.36,Small Pack,1.63,0.38,2017-11-21,0.84,266.64
126,200982,PFS127043,100922404,2017-11-11,High,15,5.3,0.01,6,79.56,79.56,Wrap Bag,4.2,0.34,2017-11-14,0.73,53.8
127,200983,PFS127086,100922064,2017-05-31,Critical,8,18.63,0.07,6,149.06,138.62,Small Box,4.2,0.56,2017-06-02,0.69,90.19
128,200983,PFS127064,100922405,2017-05-31,Medium,8,5.46,0.03,5.25,43.68,43.68,Small Box,3.68,0.56,2017-06-06,0.55,19.79
129,200984,PFS127013,100922065,2017-08-18,High,7,21.1,0.01,6,147.71,146.24,Wrap Bag,4.2,0.34,2017-08-21,0.37,49.07
130,200984,PFS127059,100922406,2017-08-18,Low,9,75.5,0.1,3.5,679.49,679.49,Medium Box,2.45,1.18,2017-08-26,0.63,423.5
131,200985,PFS127044,100922066,2017-06-14,Medium,3,22.12,0.04,5.25,66.35,63.7,Small Box,3.68,0.56,2017-06-20,0.73,42.06
132,200985,PFS127103,100922407,2017-06-14,Low,3,45.8,0.02,3.5,137.39,137.39,Small Box,2.45,0.56,2017-06-22,0.69,91.1
133,200986,PFS127054,100922067,2017-08-23,Low,2,23.7,0.08,3.5,47.4,43.61,Small Box,2.45,0.56,2017-08-31,0.76,30.17
134,200986,PFS127066,100922408,2017-08-23,Same Day,4,5.9,0,11.25,23.61,23.61,Small Box,7.88,0.56,2017-08-24,0.31,-1.22
135,200987,PFS127048,100922068,2017-06-15,Low,8,44.3,0.05,2,354.4,336.68,Small Pack,1.4,0.38,2017-06-23,0.89,298
136,200987,PFS127070,100922409,2017-06-15,Low,5,35.9,0.09,3.5,179.51,179.51,Medium Box,2.45,1.18,2017-06-23,0.69,119.66
137,200988,PFS127020,100922069,2017-01-09,Same Day,11,15.6,0,13.5,171.6,171.6,Jumbo Box,9.45,2.96,2017-01-10,0.74,114.57
138,200988,PFS127037,100922410,2017-01-09,Medium,8,26.71,0,2.25,213.66,213.66,Wrap Bag,1.58,0.34,2017-01-15,0.74,157.14
139,200989,PFS127089,100922070,2017-08-14,Low,12,15.77,0.09,2.5,189.23,172.2,Small Box,1.75,0.56,2017-08-22,0.84,142.54
140,200989,PFS127063,100922411,2017-08-14,High,2,36.83,0,9,73.65,73.65,Small Box,6.3,0.56,2017-08-17,0.42,24.11
141,200990,PFS127081,100922071,2017-10-19,Medium,15,16.34,0.04,5.25,245.12,235.31,Large Box,3.68,1.48,2017-10-25,0.61,138.76
142,200990,PFS127040,100922412,2017-10-19,Critical,7,46.93,0.1,12,328.5,328.5,Medium Box,8.4,1.18,2017-10-21,0.67,211.44
143,200991,PFS127072,100922072,2017-10-24,High,8,16.65,0.02,5,133.22,130.56,Small Box,3.5,0.56,2017-10-27,0.68,85.06
144,200991,PFS127053,100922413,2017-10-24,Very Low,1,56.93,0.1,2.33,56.93,56.93,Small Box,1.63,0.56,2017-11-03,0.31,15.21
145,200992,PFS127087,100922073,2017-01-13,Critical,9,32.67,0.05,10.5,294,279.3,Medium Box,7.35,1.18,2017-01-15,0.84,226.42
146,200992,PFS127105,100922414,2017-01-13,Same Day,3,37.15,0.09,9,111.45,111.45,Small Box,6.3,0.56,2017-01-14,0.67,68.12
147,200993,PFS127097,100922074,2017-07-30,Very Low,3,19.67,0.03,1.67,59,57.23,Jumbo Drum,1.17,5.42,2017-08-09,0.76,36.96
148,200993,PFS127095,100922415,2017-07-30,Low,9,27.72,0.05,3.5,249.5,249.5,Small Pack,2.45,0.38,2017-08-07,0.84,207.05
149,200994,PFS127119,100922075,2017-08-21,Same Day,4,41.5,0.04,20.25,166,159.36,Small Box,14.18,0.56,2017-08-22,0.73,101.09
150,200994,PFS127086,100922416,2017-08-21,Medium,12,18.63,0.05,3,223.58,223.58,Small Box,2.1,0.56,2017-08-27,0.69,150.49
151,200995,PFS127121,100922076,2017-03-17,Low,5,47.5,0.07,2,237.5,220.88,Small Box,1.4,0.56,2017-03-25,0.94,205.66
152,200995,PFS127013,100922417,2017-03-17,High,5,21.1,0.01,6,105.51,105.51,Wrap Bag,4.2,0.34,2017-03-20,0.37,34.14
153,200996,PFS127092,100922077,2017-02-28,Medium,8,18.41,0.1,2.25,147.26,132.54,Large Box,1.58,1.48,2017-03-06,0.92,119.09
154,200996,PFS127044,100922418,2017-02-28,Critical,4,22.12,0,10.5,88.47,88.47,Small Box,7.35,0.56,2017-03-02,0.73,56.39
155,200997,PFS127057,100922078,2017-03-06,High,2,19.75,0,6,39.49,39.49,Small Box,4.2,0.56,2017-03-09,0.69,22.36
156,200997,PFS127054,100922419,2017-03-06,Very Low,3,23.7,0.01,2.33,71.11,71.11,Small Box,1.63,0.56,2017-03-16,0.76,51.9
157,200998,PFS127060,100922079,2017-07-25,Critical,7,19.75,0.08,12,138.23,127.17,Small Box,8.4,0.56,2017-07-27,0.59,66.14
158,200998,PFS127048,100922420,2017-07-25,Same Day,2,44.3,0.03,9,88.6,88.6,Small Pack,6.3,0.38,2017-07-26,0.89,72.21
159,200999,PFS127090,100922080,2017-10-04,Very Low,1,19.88,0.1,2.33,19.88,17.89,Large Box,1.63,1.48,2017-10-14,0.76,10.5
160,200999,PFS127020,100922421,2017-10-04,Medium,2,15.6,0.03,4.5,31.2,31.2,Jumbo Box,3.15,2.96,2017-10-10,0.74,16.98
161,201000,PFS127091,100922081,2017-08-25,Same Day,3,20.48,0.08,20.25,61.43,56.51,Small Box,14.18,0.56,2017-08-26,0.84,32.8
162,201000,PFS127089,100922422,2017-08-25,Medium,9,15.77,0,3.75,141.92,141.92,Small Box,2.63,0.56,2017-08-31,0.84,116.2
163,201001,PFS127108,100922082,2017-05-04,Medium,9,20.48,0.07,5.25,184.28,171.38,Wrap Bag,3.68,0.34,2017-05-10,0.84,140.15
164,201001,PFS127081,100922423,2017-05-04,Medium,1,16.34,0.02,5.25,16.34,16.34,Large Box,3.68,1.48,2017-05-10,0.61,4.84
165,201002,PFS127041,100922083,2017-11-23,Medium,12,20.79,0.01,4.5,249.44,246.95,Small Box,3.15,0.56,2017-11-29,0.65,156.71
166,201002,PFS127072,100922424,2017-11-23,Very Low,4,16.65,0.09,1.67,66.61,66.61,Small Box,1.17,0.56,2017-12-03,0.68,43.74
167,201003,PFS127052,100922084,2017-07-02,Medium,5,20.79,0.04,4.5,103.94,99.78,Large Box,3.15,1.48,2017-07-08,0.42,37.28
168,201003,PFS127087,100922425,2017-07-02,Very Low,7,32.67,0.04,2.33,228.67,228.67,Medium Box,1.63,1.18,2017-07-12,0.84,189.55
169,201004,PFS127073,100922085,2017-12-24,Very Low,4,20.79,0.04,2,83.15,79.82,Jumbo Drum,1.4,5.42,2018-01-03,0.62,43.03
170,201004,PFS127097,100922426,2017-12-24,Critical,8,19.67,0.05,7.5,157.34,157.34,Jumbo Drum,5.25,5.42,2017-12-26,0.76,109.04
171,201005,PFS127098,100922086,2017-06-03,Very Low,3,20.79,0.02,2.33,62.36,61.11,Small Box,1.63,0.56,2017-06-13,0.73,42.61
172,201005,PFS127119,100922427,2017-06-03,High,5,41.5,0.07,9,207.5,207.5,Small Box,6.3,0.56,2017-06-06,0.73,143.95
173,201006,PFS127114,100922087,2017-04-13,Critical,2,21.94,0.1,10.5,43.89,39.5,Small Box,7.35,0.56,2017-04-15,0.84,25.31
174,201006,PFS127121,100922428,2017-04-13,Medium,2,47.5,0.04,3,95,95,Small Box,2.1,0.56,2017-04-19,0.94,86.64
175,201007,PFS127120,100922088,2017-04-12,High,2,21.94,0.02,7,43.89,43.01,Small Box,4.9,0.56,2017-04-15,0.7,24.5
176,201007,PFS127092,100922429,2017-04-12,Low,3,18.41,0.08,1.5,55.22,55.22,Large Box,1.05,1.48,2017-04-20,0.92,48.36
177,201008,PFS127046,100922089,2017-06-18,Medium,9,22.09,0.07,3.75,198.78,184.87,Jumbo Box,2.63,2.96,2017-06-24,0.69,121.38
178,201008,PFS127057,100922430,2017-06-18,Low,9,19.75,0.05,3,177.72,177.72,Small Box,2.1,0.56,2017-06-26,0.69,119.4
179,201009,PFS127115,100922090,2017-08-28,Low,1,22.75,0,3.5,22.75,22.75,Large Box,2.45,1.48,2017-09-05,0.76,13.38
180,201009,PFS127060,100922431,2017-08-28,Same Day,11,19.75,0.09,18,217.22,217.22,Small Box,12.6,0.56,2017-08-29,0.59,115.13
181,201010,PFS127083,100922091,2017-03-14,Low,4,23.39,0.01,1.5,93.55,92.61,Small Box,1.05,0.56,2017-03-22,0.73,65.7
182,201010,PFS127090,100922432,2017-03-14,Low,19,19.88,0.06,3.5,377.66,377.66,Large Box,2.45,1.48,2017-03-22,0.76,283.4
